,start,end,rpc_method,error
0,2024-02-19 07:59:58.897261,2024-02-19 08:00:01.266943,eth_getBlockByNumber,
1,2024-02-19 07:59:58.897750,2024-02-19 07:59:59.809953,eth_getBlockByNumber,
2,2024-02-19 07:59:58.897985,2024-02-19 08:00:00.468627,eth_getBlockByNumber,
3,2024-02-19 07:59:58.898197,2024-02-19 08:00:00.651969,eth_getBlockByNumber,
4,2024-02-19 07:59:58.898403,2024-02-19 08:00:01.477612,eth_getBlockByNumber,
5,2024-02-19 07:59:58.898707,2024-02-19 08:00:01.281654,eth_getBlockByNumber,
6,2024-02-19 07:59:58.898916,2024-02-19 08:00:00.929187,eth_getBlockByNumber,
7,2024-02-19 07:59:58.899214,2024-02-19 08:00:01.408184,eth_getBlockByNumber,
8,2024-02-19 07:59:58.899429,2024-02-19 08:00:00.584238,eth_getBlockByNumber,
9,2024-02-19 07:59:58.899647,2024-02-19 08:00:00.406516,eth_getBlockByNumber,
10,2024-02-19 07:59:58.899844,2024-02-19 08:00:01.140557,eth_getBlockByNumber,
11,2024-02-19 07:59:58.900039,2024-02-19 08:00:01.399658,eth_getBlockByNumber,
12,2024-02-19 07:59:58.900228,2024-02-19 08:00:01.062092,eth_getBlockByNumber,
13,2024-02-19 07:59:58.900422,2024-02-19 08:00:00.780115,eth_getBlockByNumber,
14,2024-02-19 07:59:58.900622,2024-02-19 08:00:00.340922,eth_getBlockByNumber,
15,2024-02-19 07:59:58.900813,2024-02-19 08:00:00.575568,eth_getBlockByNumber,
16,2024-02-19 07:59:58.901079,2024-02-19 08:00:01.070170,eth_getBlockByNumber,
17,2024-02-19 07:59:58.901289,2024-02-19 08:00:00.744037,eth_getBlockByNumber,
18,2024-02-19 07:59:58.901488,2024-02-19 08:00:00.957631,eth_getBlockByNumber,
19,2024-02-19 07:59:58.901691,2024-02-19 08:00:00.532510,eth_getBlockByNumber,
20,2024-02-19 07:59:58.901882,2024-02-19 08:00:00.839766,eth_getBlockByNumber,
21,2024-02-19 07:59:58.902072,2024-02-19 08:00:00.945224,eth_getBlockByNumber,
