,start,end,rpc_method,error
0,2024-02-20 14:32:55.384041,2024-02-20 14:32:57.172617,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
1,2024-02-20 14:32:55.384516,2024-02-20 14:32:57.170956,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
2,2024-02-20 14:32:55.384767,2024-02-20 14:32:57.171276,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
3,2024-02-20 14:32:55.384988,2024-02-20 14:32:57.171602,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
4,2024-02-20 14:32:55.385223,2024-02-20 14:32:57.171914,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
5,2024-02-20 14:32:55.385518,2024-02-20 14:32:57.172269,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
6,2024-02-20 14:32:55.385734,2024-02-20 14:32:57.172920,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
7,2024-02-20 14:32:55.385946,2024-02-20 14:32:57.173212,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
8,2024-02-20 14:32:55.386151,2024-02-20 14:32:57.173505,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
9,2024-02-20 14:32:55.386346,2024-02-20 14:32:57.173809,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
10,2024-02-20 14:32:55.386575,2024-02-20 14:32:57.174097,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
11,2024-02-20 14:32:55.386776,2024-02-20 14:32:57.174388,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
12,2024-02-20 14:32:55.386970,2024-02-20 14:32:57.174770,eth_getBlockByNumber,"RemoteProtocolError('<ConnectionTerminated error_code:0, last_stream_id:199, additional_data:None>')"
